SampleID,Trial,Order,MilkSource,PoreSize,Day,MilkType,StorageTemp,pH,ParticleSize,Coagulated,CompMethod,Fat,Protein,Lactose,TS,SnF,FreezePt,pumptype,bottlenum,SCC
MF-1-1.2-Skim-D0,1,1,LS,1.2,0,skim,3,6.57,167.4,,milkoscan,0.05,3.29,4.7,9.1,9.04,,,,
MF-1-1.2-Skim-D0,1,1,LS,1.2,0,skim,3,6.6,174.8,,milkoscan,0.05,3.28,4.7,9.09,9.04,,,,
MF-1-1.2-Skim-D0,1,1,LS,1.2,0,skim,6.5,6.57,167.4,,milkoscan,0.05,3.29,4.7,9.1,9.04,,,,
MF-1-1.2-Skim-D0,1,1,LS,1.2,0,skim,6.5,6.6,174.8,,milkoscan,0.05,3.28,4.7,9.09,9.04,,,,
MF-1-1.2-Skim-D0,1,1,LS,1.2,0,skim,10,6.57,167.4,,milkoscan,0.05,3.29,4.7,9.1,9.04,,,,
MF-1-1.2-Skim-D0,1,1,LS,1.2,0,skim,10,6.6,174.8,,milkoscan,0.05,3.28,4.7,9.09,9.04,,,,
MF-1-1.2-Whole-D0,1,1,LS,1.2,0,whole,3,6.59,276.9,,milkoscan,3.38,3.34,5.05,12.49,9.1,,,,
MF-1-1.2-Whole-D0,1,1,LS,1.2,0,whole,3,6.58,287,,milkoscan,3.38,3.33,5.05,12.47,9.09,,,,
MF-1-1.2-Whole-D0,1,1,LS,1.2,0,whole,6.5,6.59,276.9,,milkoscan,3.38,3.34,5.05,12.49,9.1,,,,
MF-1-1.2-Whole-D0,1,1,LS,1.2,0,whole,6.5,6.58,287,,milkoscan,3.38,3.33,5.05,12.47,9.09,,,,
MF-1-1.2-Whole-D0,1,1,LS,1.2,0,whole,10,6.59,276.9,,milkoscan,3.38,3.34,5.05,12.49,9.1,,,,
MF-1-1.2-Whole-D0,1,1,LS,1.2,0,whole,10,6.58,287,,milkoscan,3.38,3.33,5.05,12.47,9.09,,,,
MF-1-1.2-RawSkim-1,1,1,LS,1.2,0,rawskim,,,,,milkoscan,0.13,3.41,4.85,9.53,9.4,,,,
MF-1-1.2-RawSkim-1,1,1,LS,1.2,0,rawskim,,,,,milkoscan,0.13,3.41,4.85,9.52,9.4,,,,
MF-1-1.2-MFSkim-1,1,1,LS,1.2,0,mfskim,,,,,milkoscan,0.08,3.32,4.84,9.37,9.29,,,,
MF-1-1.2-MFSkim-2,1,1,LS,1.2,0,mfskim,,,,,milkoscan,0.08,3.32,4.85,9.37,9.3,,,,
MF-1-0.8-Skim-D0,1,2,LS,0.8,0,skim,3,6.49,163.1,,milkoscan,0.05,3.43,4.65,9.2,9.14,,,,
MF-1-0.8-Skim-D0,1,2,LS,0.8,0,skim,3,6.51,166.8,,milkoscan,0.05,3.42,4.64,9.17,9.11,,,,
MF-1-0.8-Skim-D0,1,2,LS,0.8,0,skim,6.5,6.49,163.1,,milkoscan,0.05,3.43,4.65,9.2,9.14,,,,
MF-1-0.8-Skim-D0,1,2,LS,0.8,0,skim,6.5,6.51,166.8,,milkoscan,0.05,3.42,4.64,9.17,9.11,,,,
MF-1-0.8-Skim-D0,1,2,LS,0.8,0,skim,10,6.49,163.1,,milkoscan,0.05,3.43,4.65,9.2,9.14,,,,
MF-1-0.8-Skim-D0,1,2,LS,0.8,0,skim,10,6.51,166.8,,milkoscan,0.05,3.42,4.64,9.17,9.11,,,,
MF-1-0.8-Whole-1,1,2,LS,0.8,0,whole,3,6.52,249.1,,milkoscan,3.28,3.28,4.74,12.08,8.74,,,,
MF-1-0.8-Whole-1,1,2,LS,0.8,0,whole,3,6.5,245.6,,milkoscan,3.3,3.3,4.74,12.13,8.76,,,,
MF-1-0.8-Whole-1,1,2,LS,0.8,0,whole,6.5,6.52,249.1,,milkoscan,3.28,3.28,4.74,12.08,8.74,,,,
MF-1-0.8-Whole-1,1,2,LS,0.8,0,whole,6.5,6.5,245.6,,milkoscan,3.3,3.3,4.74,12.13,8.76,,,,
MF-1-0.8-Whole-1,1,2,LS,0.8,0,whole,10,6.52,249.1,,milkoscan,3.28,3.28,4.74,12.08,8.74,,,,
MF-1-0.8-Whole-1,1,2,LS,0.8,0,whole,10,6.5,245.6,,milkoscan,3.3,3.3,4.74,12.13,8.76,,,,
MF-1-0.8-RawSkim-1,1,2,LS,0.8,0,rawskim,,,,,milkoscan,0.11,3.53,4.64,9.35,9.24,,,,
MF-1-0.8-RawSkim-2,1,2,LS,0.8,0,rawskim,,,,,milkoscan,0.11,3.53,4.65,9.37,9.25,,,,
MF-1-0.8-MFSkim-1,1,2,LS,0.8,0,mfskim,,,,,milkoscan,0.06,3.43,4.64,9.2,9.13,,,,
MF-1-0.8-MFSkim-2,1,2,LS,0.8,0,mfskim,,,,,milkoscan,0.06,3.43,4.65,9.2,9.14,,,,
MF-1-1.2-7-Skim-HTST-3,1,1,LS,1.2,7,skim,3,6.73,177.8,,,184.6,,,,,,,,
MF-1-1.2-7-Skim-HTST-3,1,1,LS,1.2,7,skim,3,6.75,184.6,,,,,,,,,,,
MF-1-1.2-7-Whole-HTST-3,1,1,LS,1.2,7,whole,3,6.73,298.1,,,,,,,,,,,
MF-1-1.2-7-Whole-HTST-3,1,1,LS,1.2,7,whole,3,6.74,281.1,,,,,,,,,,,
MF-1-1.2-7-Skim-HTST-6.5,1,1,LS,1.2,7,skim,6.5,6.72,178.1,,,,,,,,,,,
MF-1-1.2-7-Skim-HTST-6.5,1,1,LS,1.2,7,skim,6.5,6.75,171.7,,,,,,,,,,,
MF-1-1.2-7-Whole-HTST-6.5,1,1,LS,1.2,7,skim,6.5,6.74,297.7,,,,,,,,,,,
MF-1-1.2-7-Whole-HTST-6.5,1,1,LS,1.2,7,skim,6.5,6.72,302.2,,,,,,,,,,,
MF-1-1.2-7-Skim-HTST-10,1,1,LS,1.2,7,skim,10,6.81,184.8,,,,,,,,,,,
MF-1-1.2-7-Skim-HTST-10,1,1,LS,1.2,7,skim,10,6.85,184.2,,,,,,,,,,,
MF-1-1.2-7-Whole-HTST-10,1,1,LS,1.2,7,whole,10,6.7,303.6,,,,,,,,,,,
MF-1-1.2-7-Whole-HTST-10,1,1,LS,1.2,7,whole,10,6.7,278.6,,,,,,,,,,,
1-14-1.2-skim-HTST-3,1,1,LS,1.2,14,skim,3,6.7,173.6,,,,,,,,,,,
1-14-1.2-skim-HTST-3,1,1,LS,1.2,14,skim,3,6.72,180.5,,,,,,,,,,,
1-14-1.2-whole-HTST-3,1,1,LS,1.2,14,whole,3,6.65,298.5,,,,,,,,,,,
1-14-1.2-whole-HTST-3,1,1,LS,1.2,14,whole,3,6.66,305,,,,,,,,,,,
1-14-1.2-skim-HTST-6.5,1,1,LS,1.2,14,skim,6.5,6.7,182.7,,,,,,,,,,,
1-14-1.2-skim-HTST-6.5,1,1,LS,1.2,14,skim,6.5,6.7,182,,,,,,,,,,,
1-14-1.2-whole-HTST-6.5,1,1,LS,1.2,14,whole,6.5,6.65,302.3,,,,,,,,,,,
1-14-1.2-whole-HTST-6.5,1,1,LS,1.2,14,whole,6.5,6.65,294.1,,,,,,,,,,,
1-14-1.2-skim-HTST-10,1,1,LS,1.2,14,skim,10,6.74,183,,,,,,,,,,,
1-14-1.2-skim-HTST-10,1,1,LS,1.2,14,skim,10,6.72,179.8,,,,,,,,,,,
1-14-1.2-whole-HTST-10,1,1,LS,1.2,14,whole,10,6.56,10182.8,TRUE,,,,,,,,,,
1-14-1.2-whole-HTST-10,1,1,LS,1.2,14,whole,10,6.54,1698.6,TRUE,,,,,,,,,,
MF1-1.2-21-HTST-Skim-3,1,1,LS,1.2,21,skim,3,6.85,184.2,,,,,,,,,,,
MF1-1.2-21-HTST-Skim-3,1,1,LS,1.2,21,skim,3,6.8,188.3,,,,,,,,,,,
MF1-1.2-21-HTST-Whole-3,1,1,LS,1.2,21,whole,3,6.83,340.4,,,,,,,,,,,
MF1-1.2-21-HTST-Whole-3,1,1,LS,1.2,21,whole,3,6.81,326.1,,,,,,,,,,,
MF1-1.2-21-HTST-Skim-6.5,1,1,LS,1.2,21,skim,6.5,6.84,190.4,,,,,,,,,,,
MF1-1.2-21-HTST-Skim-6.5,1,1,LS,1.2,21,skim,6.5,6.79,186.9,,,,,,,,,,,
MF1-1.2-21-HTST-Whole-6.5,1,1,LS,1.2,21,whole,6.5,6.78,321.5,,,,,,,,,,,
MF1-1.2-21-HTST-Whole-6.5,1,1,LS,1.2,21,whole,6.5,6.78,329.6,,,,,,,,,,,
MF1-1.2-21-HTST-Skim-10,1,1,LS,1.2,21,skim,10,6.9,186.1,,,,,,,,,,,
MF1-1.2-21-HTST-Skim-10,1,1,LS,1.2,21,skim,10,6.91,184.1,,,,,,,,,,,
