SampleID,Trial,Order,MilkSource,PoreSize,Day,MilkType,StorageTemp,pH,ParticleSize,Coagulated,CompMethod,Fat,Protein,Lactose,TS,SnF,FreezePt,pumptype,bottlenum,SCC,GramNeg
MF4-1.2-Whole-D28-3C,4,2,UPS,1.2,28,whole,3,6.8,laberror,,,,,,,,,,,,KEEP
MF-2-1.2-Skim-D56-10C,2,2,UPS,1.2,56,skim,10,6.66,1208.7,TRUE,,,,,,,,,,,KEEP
MF3-0.8-Whole-D35-10C,3,2,UPS,0.8,35,whole,10,6.4,626.5,,,,,,,,,,,,KEEP
MF-2-1.2-Whole-D49-3C,2,2,UPS,1.2,49,whole,3,6.68,602.7,,,,,,,,,,,,KEEP
MF3-0.8-Whole-D35-10C,3,2,UPS,0.8,35,whole,10,6.42,559.6,,,,,,,,,,,,KEEP
MF4-1.2-Whole-D7-10C,4,2,UPS,1.2,7,whole,10,6.68,559,,,,,,,,,,,,KEEP
MF3-0.8-Whole-D49-3C,3,2,UPS,0.8,49,whole,3,6.73,555,,,,,,,,,,,,KEEP
MF4-1.2-Whole-D63-10C,3,1,UPS,1.2,56,whole,10,6.54,551.7,,,,,,,,,,,,KEEP
MF4-1.2-Whole-D63-10C,4,2,UPS,1.2,63,whole,10,5.71,551.7,,,,,,,,,,,,KEEP
MF4-1.2-Whole-D7-10C,4,2,UPS,1.2,7,whole,10,6.68,530,,,,,,,,,,,,KEEP
MF3-1.2-Whole-D42-10C,3,1,UPS,1.2,42,whole,10,6.71,515.8,,,,,,,,,,,,KEEP
MF4-0.8-Whole-D63-6.5C,3,2,UPS,0.8,56,whole,6.5,6.77,509.7,,,,,,,,,,,,KEEP
MF4-0.8-Whole-D63-6.5C,4,1,UPS,0.8,63,whole,6.5,5.74,509.7,,,,,,,,,,,,KEEP
MF3-0.8-Whole-D49-6.5C,3,2,UPS,0.8,49,whole,6.5,6.7,504.7,,,,,,,,,,,,KEEP
